test_data,I_a,I_b,I_c,Fault_Type
456,0.000000,2.296072,2.296072,1.000000
457,0.000000,2.294132,2.294132,1.000000
458,0.000000,2.293772,2.293772,1.000000
459,0.000000,2.294294,2.294294,1.000000
460,0.000000,2.295236,2.295236,1.000000
461,0.000000,2.295718,2.295718,1.000000
462,0.000000,2.295445,2.295445,1.000000
463,0.000000,2.295485,2.295485,1.000000
464,0.000000,2.293472,2.293472,1.000000
465,0.000000,2.295256,2.295256,1.000000
466,0.000000,2.293081,2.293081,1.000000
467,0.000000,2.293047,2.293047,1.000000
468,0.000000,2.295648,2.295648,1.000000
469,0.000000,2.294553,2.294553,1.000000
470,0.000000,2.295621,2.295621,1.000000
471,0.000000,2.295850,2.295850,1.000000
472,0.000000,2.295168,2.295168,1.000000
473,0.000000,2.292896,2.292896,1.000000
474,0.000000,2.294741,2.294741,1.000000
475,0.000000,2.295000,2.295000,1.000000
476,0.000000,2.295305,2.295305,1.000000
477,0.000000,2.295731,2.295731,1.000000
478,0.000000,2.294859,2.294859,1.000000
479,0.000000,2.295356,2.295356,1.000000
480,0.000000,2.294957,2.294957,1.000000
481,0.000000,2.295491,2.295491,1.000000
482,0.000000,2.294073,2.294073,1.000000
483,0.000000,2.295152,2.295152,1.000000
484,0.000000,2.294480,2.294480,1.000000
485,0.000000,2.295729,2.295729,1.000000
486,0.000000,2.295564,2.295564,1.000000
487,0.000000,2.294899,2.294899,1.000000
488,0.000000,2.294400,2.294400,1.000000
489,0.000000,2.295830,2.295830,1.000000
490,0.000000,2.295820,2.295820,1.000000
491,0.000000,2.295812,2.295812,1.000000
492,0.000000,2.295297,2.295297,1.000000
493,0.000000,2.295839,2.295839,1.000000
494,0.000000,2.295556,2.295556,1.000000
495,0.000000,2.293460,2.293460,1.000000
496,0.000000,2.295308,2.295308,1.000000
497,0.000000,2.295730,2.295730,1.000000
498,0.000000,2.292884,2.292884,1.000000
499,0.000000,2.296127,2.296127,1.000000
500,0.000000,2.295070,2.295070,1.000000
501,0.000000,2.294720,2.294720,1.000000
502,0.000000,2.295158,2.295158,1.000000
503,0.000000,2.292852,2.292852,1.000000
504,0.000000,2.293931,2.293931,1.000000
505,0.000000,2.293745,2.293745,1.000000
506,0.000000,2.294153,2.294153,1.000000
507,0.000000,2.294914,2.294914,1.000000
508,0.000000,2.294935,2.294935,1.000000
509,0.000000,2.293426,2.293426,1.000000
510,0.000000,2.293866,2.293866,1.000000
511,0.000000,2.295692,2.295692,1.000000
512,0.000000,2.296104,2.296104,1.000000
513,0.000000,2.292746,2.292746,1.000000
514,0.000000,2.293239,2.293239,1.000000
515,0.000000,2.293847,2.293847,1.000000
516,0.000000,2.295218,2.295218,1.000000
517,0.000000,2.295561,2.295561,1.000000
518,0.000000,2.294804,2.294804,1.000000
519,0.000000,2.294352,2.294352,1.000000
520,0.000000,2.292909,2.292909,1.000000
521,0.000000,2.295581,2.295581,1.000000
522,0.000000,2.293967,2.293967,1.000000
523,0.000000,2.294658,2.294658,1.000000
524,0.000000,2.295230,2.295230,1.000000
525,0.000000,2.296105,2.296105,1.000000
526,0.000000,2.294731,2.294731,1.000000
527,0.000000,2.293517,2.293517,1.000000
528,0.000000,2.295589,2.295589,1.000000
529,0.000000,2.293556,2.293556,1.000000
530,0.000000,2.293204,2.293204,1.000000
531,0.000000,2.293946,2.293946,1.000000
532,0.000000,2.294285,2.294285,1.000000
533,0.000000,2.295748,2.295748,1.000000
534,0.000000,2.295925,2.295925,1.000000
535,0.000000,2.294262,2.294262,1.000000
536,0.000000,2.295047,2.295047,1.000000
537,0.000000,2.293077,2.293077,1.000000
538,0.000000,2.294008,2.294008,1.000000
539,0.000000,2.294576,2.294576,1.000000
540,0.000000,2.294579,2.294579,1.000000
541,0.000000,2.295639,2.295639,1.000000
542,0.000000,2.293429,2.293429,1.000000
543,0.000000,2.295669,2.295669,1.000000
544,0.000000,2.295047,2.295047,1.000000
545,0.000000,2.295055,2.295055,1.000000
546,0.000000,2.295786,2.295786,1.000000
547,0.000000,2.295377,2.295377,1.000000
548,0.000000,2.292897,2.292897,1.000000
549,0.000000,2.293589,2.293589,1.000000
550,0.000000,2.293713,2.293713,1.000000
551,0.000000,2.295712,2.295712,1.000000
552,0.000000,2.295756,2.295756,1.000000
553,0.000000,2.292984,2.292984,1.000000
554,0.000000,2.294407,2.294407,1.000000
555,0.000000,2.293079,2.293079,1.000000
556,0.000000,2.294591,2.294591,1.000000
557,0.000000,2.293922,2.293922,1.000000
558,0.000000,2.295063,2.295063,1.000000
559,0.000000,2.294394,2.294394,1.000000
560,0.000000,2.294600,2.294600,1.000000
561,0.000000,2.294570,2.294570,1.000000
562,0.000000,2.295486,2.295486,1.000000
563,0.000000,2.293553,2.293553,1.000000
564,0.000000,2.295054,2.295054,1.000000
565,0.000000,2.294033,2.294033,1.000000
566,0.000000,2.295668,2.295668,1.000000
567,0.000000,2.295251,2.295251,1.000000
568,0.000000,2.295498,2.295498,1.000000
569,0.000000,2.295258,2.295258,1.000000
570,0.000000,2.292873,2.292873,1.000000
571,0.000000,2.293482,2.293482,1.000000
572,0.000000,2.293144,2.293144,1.000000
573,0.000000,2.295557,2.295557,1.000000
574,0.000000,2.295222,2.295222,1.000000
575,0.000000,2.294300,2.294300,1.000000
576,0.000000,2.295387,2.295387,1.000000
577,0.000000,2.295128,2.295128,1.000000
578,0.000000,2.295684,2.295684,1.000000
579,0.000000,2.294677,2.294677,1.000000
580,0.000000,2.292848,2.292848,1.000000
581,0.000000,2.292789,2.292789,1.000000
582,0.000000,2.295885,2.295885,1.000000
583,0.000000,2.294117,2.294117,1.000000
584,0.000000,2.294307,2.294307,1.000000
585,0.000000,2.295375,2.295375,1.000000
586,0.000000,2.293291,2.293291,1.000000
587,0.000000,2.293480,2.293480,1.000000
588,0.000000,2.295294,2.295294,1.000000
589,0.000000,2.294118,2.294118,1.000000
590,0.000000,2.293137,2.293137,1.000000
591,0.000000,2.294571,2.294571,1.000000
592,0.000000,2.294983,2.294983,1.000000
593,0.000000,2.293134,2.293134,1.000000
594,0.000000,2.292768,2.292768,1.000000
595,0.000000,2.295933,2.295933,1.000000
596,0.000000,2.296031,2.296031,1.000000
597,0.000000,2.293386,2.293386,1.000000
598,0.000000,2.294444,2.294444,1.000000
599,0.000000,2.294733,2.294733,1.000000
600,0.000000,2.295839,2.295839,1.000000
601,0.000000,2.292845,2.292845,1.000000
602,0.000000,2.295612,2.295612,1.000000
603,0.000000,2.295205,2.295205,1.000000
604,0.000000,2.295019,2.295019,1.000000
605,0.000000,2.295068,2.295068,1.000000
606,0.000000,2.294653,2.294653,1.000000
607,0.000000,2.293875,2.293875,1.000000
608,0.000000,2.294124,2.294124,1.000000
609,0.000000,2.295593,2.295593,1.000000
610,0.000000,2.295709,2.295709,1.000000
611,0.000000,2.293869,2.293869,1.000000
612,0.000000,2.293723,2.293723,1.000000
613,0.000000,2.293411,2.293411,1.000000
614,0.000000,2.294852,2.294852,1.000000
615,0.000000,2.294236,2.294236,1.000000
616,0.000000,2.293831,2.293831,1.000000
617,0.000000,2.295883,2.295883,1.000000
618,0.000000,2.294316,2.294316,1.000000
619,0.000000,2.296074,2.296074,1.000000
620,0.000000,2.293064,2.293064,1.000000
621,0.000000,2.295695,2.295695,1.000000
